company_id,speciality
22292832,window replacement
22292832,patio door replacement
20300,Commercial Banking
20300,Retail Banking
20300,Mortgage
20300,Private Banking
20300,Trust Services
20300,Insurance
20300,Wealth Management
3570660,Advertising
3570660,Magazine
3570660,Community
3570660,Local Interest
3570660,Philanthropy
878353,Staff Augmentation
878353,Independent Contractor Compliance
878353,Subsurface Consultancy  Services
878353,Upstream Project/Facilities
878353,Project Support Services
878353,Downstream Facilities/Projects
878353,Financial/Operations
878353,HR/Administration
878353,"Health, Safety, Security & Environment"
729238,IT
729238,Consulting
729238,BPO
729238,RPO
766849,"Pharmaceutical Sales, Medical Device & Medical Sales"
766849,Business to Business
766849,Software Sales
766849,Marketing
766849,SaaS AI
766849,Aesthetics 
766849,Orthopedics
766849,Wound Care
766849,Parks and Recreation - Playground Sales
12828,premium coffee
12828,espresso & lattes
12828,real fruit smoothies
12828,baked from scratch pastries
12828,franchising
2934678,Contingent Staffing
2934678,Direct Hire
2934678,Workforce Management Solutions
2934678,Outsourcing
2934678,Technology 
2934678,Finance and Accounting
2934678,FinTech
2934678,Information Technology
2934678,Administrative
2934678,Payroll
2934678,Franchising 
2934678,Java
2934678,Blockchain
2934678,SalesForce
2934678,technology services
2934678,talent management
2934678,Azure
2934678,Data Engineering
2934678,AWS
15984730,ERP
15984730,PeopleSoft
15984730,Enterprise Automation Testing
15984730,PeopleSoft Campus Solutions
15984730,Human Capital Management
15984730,Financial Supply Chain Management
15984730,DW/BI
15984730,Augmented Reality
15984730,Virtual Reality
15984730,Cybersecurity
15984730,Cloud Hosting
15984730,Lean On IT Services
15984730,Advanced Analytics
15984730,Mobile App Development
15984730,Web App Development
15984730,Big Data
15984730,Artificial Intelligence
15984730,Executive Search
15984730,Staff Augmentation
34771607,Captive Insurance
34771607,Financial Planning
34771607,Wealth Management
34771607,Retirement Planning
34771607,Legacy Planning
34771607,Longevity Planning
34771607,Pre-Retirees
34771607,Business Owners
34771607,Family Offices
34771607,Behavioral Finance
34771607,Financial Literacy
34771607,Education Planning
34771607,Sudden Wealth
34771607,Insurance
34771607,Cash Management
34771607,Corporate Executives
34771607,Wealth Transfer
34771607,Special Needs Trusts
34771607,Risk Management
34771607,Estate Planning
947812,Uranium
947812,milling
947812,exploration
947812,development
947812,production
947812,Vanadium
6618000,TECHNOLOGY SOLUTIONS MANAGEMENT
6618000,GLOBAL EXECUTIVE RECRUITING
6618000,IT PROFESSIONAL RECRUITING
6618000,MANAGED SERVICES
5887,Contingency based IT Recruiting
5887,IT Recruiting
5887,IT Staffing
5887,IT Consulting
5887,Talent Delivery
5887,IT Contracting
5887,Managed Services
5887,IT Salary
16239240,Air Freight
16239240,Ocean Freight
16239240,Road Freight
16239240,Rail Freight
16239240,Multimodal transportation
16239240,Customs Brokerage
16239240,Customs Consulting
16239240,Warehousing
16239240,Lead Logistics Partner
16239240,International Supply Chain
16239240,Project Forwarding
16239240,Green Logistics
16239240,Cargo Insurance
16239240,Security Services
16239240,Temperature-controlled transportation
16239240,Logistics
75056372,Legal
75056372,Regulatory
75056372,Talent
23656,Staffing
23656,Recruiting
23656,Accounting and Finance
23656,Technology
23656,Administrative
23656,Call Center
23656,Human Resources
23656,Executive Search
23656,Sales
23656,Supply Chain
23656,Healthcare Revenue Cycle
23656,Marketing
23656,Management Resources
33218,CSS Tec
33218,CSS ProSearch
33218,CSS Professional Staffing
33218,CSS Accounting & Finance
33218,Peergenics
33218,CSSvSource
1712844,"Property Management,"
1712844,Construction Services
1712844,Compliance and Inspection Services
1712844,Due Diligence Services
1712844,Development
1712844,Commercial Real Estate
1712844,Asset Management
11056,IT Staffing
11056,Engineering Staffing
11056,Government Staffing
11056,Managed Services
11056,IT Outsourcing
11056,Recruitment Processing Outsourcing (RPO)
11056,Enhanced Staffing Solutions (ESS)
11056,Consultative Services
11056,Project & Program Management
11056,Recruiting
11056,Accounting and Finance Staffing
11056,Job Placement
11056,Contract Opportunities
11056,Jobs
11056,Careers
11056,Healthcare
11056,Sales
24440,Total Talent Solutions
24440,Tech Consulting Services
24440,Advisory and Implementation
24440,Direct Hire Recruitment
24440,Software Engineering Solutions
24440,Platform Modernization and Integration
24440,Data Modernization
24440,Customized Training and Talent Development
24440,Project-Based Services
24440,Talent Development
24440,"Cloud Enablement and Migration,"
4592,Bearings
4592,Seals
4592,Mechatronics
4592,Services
4592,Lubrication
4592,True Knowledge engineering company with five integrated platforms
33671,Food Nutrition Health
33671,Plant-Based Chemistry
33671,Human Food & Nutrition
33671,Animal Nutrition
33671,Pharmacy
33671,Paper & Cardboard
33671,Chemistry & Bioindustry
33671,Performance Plastics
33671,Starches
33671,Sugars
33671,Polyols
33671,Proteins
33671,Fibers
33671,Lipids
33671,Cosmetics
14158,IT and Engineering Staffing Solutions
14158,Government
14158,Banking and Financial Services Consulting
14158,Life Sciences Staffing
366025,Transportation
366025,Engineering
366025,Construction Management
366025,Architecture
366025,Procurement
366025,System Safety
366025,Project Management
366025,Mechanics
366025,Electricians
366025,Ironworkers
366025,Sheet Metal Workers
366025,HVAC
366025,Elevator and Escalator Mechanics
366025,Heavy Equipment Mechanics
366025,Masons
366025,Carpenters
366025,Logistics
366025,Warehousing
366025,Transportation Management
366025,Information Technology
6213,Identification solutions
6213,workplace safety
